"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2014","1,873.81","1,874.05","1,876.53","1,871.11","","-0.01%"
"03/04/2014","1,873.91","1,849.23","1,876.23","1,849.23","","1.53%"
"03/03/2014","1,845.73","1,857.68","1,857.68","1,834.44","","-0.74%"
"02/28/2014","1,859.45","1,855.12","1,867.92","1,847.67","","0.28%"
"02/27/2014","1,854.29","1,844.90","1,854.53","1,841.13","","0.49%"
"02/26/2014","1,845.16","1,845.79","1,852.65","1,840.66","","0.00%"
"02/25/2014","1,845.12","1,847.66","1,852.91","1,840.19","","-0.13%"
"02/24/2014","1,847.61","1,836.78","1,858.71","1,836.78","","0.62%"
"02/21/2014","1,836.25","1,841.07","1,846.13","1,835.60","","-0.19%"
"02/20/2014","1,839.78","1,829.24","1,842.79","1,824.58","","0.60%"
"02/19/2014","1,828.75","1,838.90","1,847.50","1,826.99","","-0.65%"
"02/18/2014","1,840.76","1,839.03","1,842.87","1,835.01","","0.12%"
"02/14/2014","1,838.63","1,828.46","1,841.65","1,825.59","","0.48%"
"02/13/2014","1,829.83","1,814.82","1,830.25","1,809.22","","0.58%"
"02/12/2014","1,819.26","1,820.12","1,826.55","1,815.97","","-0.03%"
"02/11/2014","1,819.75","1,800.45","1,823.54","1,800.41","","1.11%"
"02/10/2014","1,799.84","1,796.20","1,799.94","1,791.83","","0.16%"
"02/07/2014","1,797.02","1,776.01","1,798.03","1,776.01","","1.33%"
"02/06/2014","1,773.43","1,752.99","1,774.06","1,752.99","","1.24%"
"02/05/2014","1,751.64","1,753.38","1,755.79","1,737.92","","-0.20%"
"02/04/2014","1,755.20","1,743.82","1,758.73","1,743.82","","0.76%"
"02/03/2014","1,741.89","1,782.68","1,784.83","1,739.66","","-2.28%"
"01/31/2014","1,782.59","1,790.88","1,793.88","1,772.26","","-0.65%"
"01/30/2014","1,794.19","1,777.17","1,798.77","1,777.17","","1.13%"
"01/29/2014","1,774.20","1,790.15","1,790.15","1,770.45","","-1.02%"
"01/28/2014","1,792.50","1,783.00","1,793.87","1,779.49","","0.61%"
"01/27/2014","1,781.56","1,791.03","1,795.98","1,772.88","","-0.49%"
"01/24/2014","1,790.29","1,826.96","1,826.96","1,790.29","","-2.09%"
"01/23/2014","1,828.46","1,842.29","1,842.29","1,820.06","","-0.89%"
"01/22/2014","1,844.86","1,844.71","1,846.87","1,840.88","","0.06%"
"01/21/2014","1,843.80","1,841.05","1,849.31","1,832.38","","0.28%"
"01/17/2014","1,838.70","1,844.23","1,846.04","1,835.23","","-0.39%"
"01/16/2014","1,845.89","1,847.99","1,847.99","1,840.30","","-0.13%"
"01/15/2014","1,848.38","1,840.52","1,850.84","1,840.52","","0.52%"
"01/14/2014","1,838.88","1,821.36","1,839.26","1,821.36","","1.08%"
"01/13/2014","1,819.20","1,841.26","1,843.45","1,815.52","","-1.26%"
"01/10/2014","1,842.37","1,840.06","1,843.15","1,832.43","","0.23%"
"01/09/2014","1,838.13","1,839.00","1,843.23","1,830.38","","0.03%"
"01/08/2014","1,837.49","1,837.90","1,840.02","1,831.40","","-0.02%"
"01/07/2014","1,837.88","1,828.71","1,840.10","1,828.71","","0.61%"
"01/06/2014","1,826.77","1,832.31","1,837.16","1,823.73","","-0.25%"
"01/03/2014","1,831.37","1,833.21","1,838.24","1,829.13","","-0.03%"
"01/02/2014","1,831.98","1,845.86","1,845.86","1,827.74","","-0.89%"
"12/31/2013","1,848.36","1,842.61","1,849.44","1,842.41","","0.40%"
"12/30/2013","1,841.07","1,841.47","1,842.47","1,838.77","","-0.02%"
"12/27/2013","1,841.40","1,842.97","1,844.89","1,839.81","","-0.03%"
"12/26/2013","1,842.02","1,834.96","1,842.84","1,834.96","","0.47%"
"12/24/2013","1,833.32","1,828.02","1,833.32","1,828.02","","0.29%"
"12/23/2013","1,827.99","1,822.92","1,829.75","1,822.92","","0.53%"
"12/20/2013","1,818.32","1,810.39","1,823.75","1,810.25","","0.48%"
"12/19/2013","1,809.60","1,809.00","1,810.88","1,801.35","","-0.06%"
"12/18/2013","1,810.65","1,781.46","1,811.08","1,767.99","","1.66%"
"12/17/2013","1,781.00","1,786.47","1,786.77","1,777.05","","-0.31%"
"12/16/2013","1,786.54","1,777.48","1,792.22","1,777.48","","0.63%"
"12/13/2013","1,775.32","1,777.98","1,780.92","1,772.45","","-0.01%"
"12/12/2013","1,775.50","1,781.71","1,782.99","1,772.28","","-0.38%"
"12/11/2013","1,782.22","1,802.76","1,802.97","1,780.09","","-1.13%"
"12/10/2013","1,802.62","1,807.60","1,808.52","1,801.75","","-0.32%"
"12/09/2013","1,808.37","1,806.21","1,811.52","1,806.21","","0.18%"
"12/06/2013","1,805.09","1,788.36","1,806.04","1,788.36","","1.12%"
"12/05/2013","1,785.03","1,792.82","1,792.82","1,783.38","","-0.43%"
"12/04/2013","1,792.81","1,793.15","1,799.80","1,779.09","","-0.13%"
"12/03/2013","1,795.15","1,800.10","1,800.10","1,787.85","","-0.32%"
"12/02/2013","1,800.90","1,806.55","1,810.02","1,798.60","","-0.27%"
"11/29/2013","1,805.81","1,808.69","1,813.55","1,803.98","","-0.08%"
"11/27/2013","1,807.23","1,803.48","1,808.27","1,802.77","","0.25%"
"11/26/2013","1,802.75","1,802.87","1,808.42","1,800.77","","0.01%"
"11/25/2013","1,802.48","1,806.33","1,808.10","1,800.58","","-0.13%"
"11/22/2013","1,804.76","1,797.21","1,804.84","1,794.70","","0.50%"
"11/21/2013","1,795.85","1,783.52","1,797.16","1,783.52","","0.81%"
"11/20/2013","1,781.37","1,789.59","1,795.73","1,777.23","","-0.36%"
"11/19/2013","1,787.87","1,790.79","1,795.51","1,784.72","","-0.20%"
"11/18/2013","1,791.53","1,798.82","1,802.33","1,788.00","","-0.37%"
"11/15/2013","1,798.18","1,790.66","1,798.22","1,790.66","","0.42%"
"11/14/2013","1,790.62","1,782.75","1,791.53","1,780.22","","0.48%"
"11/13/2013","1,782.00","1,764.37","1,782.00","1,760.64","","0.81%"
"11/12/2013","1,767.69","1,769.51","1,771.78","1,762.29","","-0.24%"
"11/11/2013","1,771.89","1,769.96","1,773.44","1,767.85","","0.07%"
"11/08/2013","1,770.61","1,748.37","1,770.78","1,747.63","","1.34%"
"11/07/2013","1,747.15","1,770.74","1,774.54","1,746.20","","-1.32%"
"11/06/2013","1,770.49","1,765.00","1,773.74","1,764.40","","0.43%"
